"age","sex","smoker","qx","mx"
23,"Female","non_smoker",0.00015,0.00015001125112511
24,"Female","non_smoker",0.00013,0.000130008450732368
25,"Female","non_smoker",0.00011,0.000110006050443758
26,"Female","non_smoker",9e-05,9.00040502430509e-05
27,"Female","non_smoker",8e-05,8.00032001706459e-05
28,"Female","non_smoker",7e-05,7.00024501143538e-05
29,"Female","non_smoker",7e-05,7.00024501143538e-05
30,"Female","non_smoker",7e-05,7.00024501143538e-05
31,"Female","non_smoker",7e-05,7.00024501143538e-05
32,"Female","non_smoker",8e-05,8.00032001706459e-05
33,"Female","non_smoker",8e-05,8.00032001706459e-05
34,"Female","non_smoker",8e-05,8.00032001706459e-05
35,"Female","non_smoker",9e-05,9.00040502430509e-05
36,"Female","non_smoker",1e-04,0.000100005000333347
37,"Female","non_smoker",0.00011,0.000110006050443758
38,"Female","non_smoker",0.00012,0.000120007200576061
39,"Female","non_smoker",0.00013,0.000130008450732368
40,"Female","non_smoker",0.00013,0.000130008450732368
41,"Female","non_smoker",0.00014,0.000140009800914792
42,"Female","non_smoker",0.00015,0.00015001125112511
43,"Female","non_smoker",0.00088,0.000880387427307355
44,"Female","non_smoker",0.00088,0.000880387427307355
45,"Female","non_smoker",0.00089,0.00089039628514658
46,"Female","non_smoker",0.00092,0.000920423459741929
47,"Female","non_smoker",0.00096,0.000960461095124461
48,"Female","non_smoker",0.00101,0.00101051039369398
49,"Female","non_smoker",0.00109,0.00109059448202957
50,"Female","non_smoker",0.00117,0.00117068498433992
51,"Female","non_smoker",0.00128,0.00128081989972239
52,"Female","non_smoker",0.00142,0.00142100915544693
53,"Female","non_smoker",0.0016,0.00160128136697388
54,"Female","non_smoker",0.0018,0.00180162194662821
55,"Female","non_smoker",0.002,0.00200200267067308
56,"Female","non_smoker",0.0022,0.00220242355520004
57,"Female","non_smoker",0.00239,0.00239286060881232
58,"Female","non_smoker",0.00259,0.00259335985259933
59,"Female","non_smoker",0.00279,0.0027938993043949
60,"Female","non_smoker",0.00303,0.00303459974383242
61,"Female","non_smoker",0.0033,0.00330545700872648
62,"Female","non_smoker",0.00362,0.00362656805569865
63,"Female","non_smoker",0.00398,0.00398794127786061
64,"Female","non_smoker",0.00439,0.0043996643446871
65,"Female","non_smoker",0.00483,0.00484170214611625
66,"Female","non_smoker",0.0053,0.00531409482376877
67,"Female","non_smoker",0.00581,0.00582694371051273
68,"Female","non_smoker",0.00637,0.00639037502201434
69,"Female","non_smoker",0.00699,0.00701454449421741
70,"Female","non_smoker",0.00773,0.00776003131146359
71,"Female","non_smoker",0.0086,0.00863719339566359
72,"Female","non_smoker",0.00963,0.00967666830218007
73,"Female","non_smoker",0.01082,0.010878961897539
74,"Female","non_smoker",0.01222,0.0122952780941516
75,"Female","non_smoker",0.01384,0.013936665738873
76,"Female","non_smoker",0.01568,0.0158042315449673
77,"Female","non_smoker",0.01782,0.0179806880359495
78,"Female","non_smoker",0.02032,0.0205292912524927
79,"Female","non_smoker",0.0233,0.0235757365287057
